epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2853,1.7688,2.67289,1.34164,0.01353,0.21019,0.01054,0.00359,2.61572,3.26349,2.24529,0.0883,0.0013,0.0013
2,9.5015,1.83686,1.88578,1.42517,0.0119,0.18833,0.00892,0.00341,2.67244,12.5889,3.48551,0.0756465,0.00264654,0.00264654
3,13.5132,1.8032,1.72233,1.41132,0.00621,0.09133,0.00349,0.00115,3.33125,inf,4.74012,0.0629376,0.00393764,0.00393764
4,17.4997,1.84775,1.67379,1.41857,0.01319,0.18951,0.00845,0.00304,2.82687,inf,5.12856,0.0501733,0.0051733,0.0051733
5,21.4356,1.84933,1.67829,1.44755,0.01049,0.14138,0.00619,0.00222,2.95255,inf,3.31747,0.0373535,0.00635352,0.00635352
6,25.4683,1.86411,1.63534,1.44486,0.00267,0.04141,0.00145,0.00045,3.42433,inf,5.07705,0.0244783,0.0074783,0.0074783
7,29.2995,1.78632,1.59584,1.39264,0.10367,0.09742,0.03578,0.01275,2.82978,4.34645,2.57485,0.0115476,0.00854764,0.00854764
8,33.1674,1.80617,1.58798,1.41618,0.21712,0.23044,0.12599,0.0524,2.25077,2.62408,2.02655,0.008614,0.008614,0.008614
9,37.2163,1.78987,1.53651,1.40453,0.31541,0.25095,0.20591,0.08893,2.18074,2.17048,1.88744,0.008416,0.008416,0.008416
10,41.0773,1.72782,1.49396,1.38358,0.42387,0.25966,0.24361,0.11402,2.11521,2.11081,1.78617,0.008218,0.008218,0.008218
11,44.9565,1.71088,1.46648,1.36056,0.28915,0.22742,0.17832,0.08026,2.20535,3.35574,1.81892,0.00802,0.00802,0.00802
12,48.8734,1.67034,1.41255,1.30859,0.37222,0.32541,0.29244,0.14622,1.8932,2.17085,1.54071,0.007822,0.007822,0.007822
13,52.6843,1.64258,1.44308,1.33589,0.45246,0.32482,0.33389,0.17156,1.83726,1.8836,1.53796,0.007624,0.007624,0.007624
14,56.4998,1.59335,1.37108,1.30039,0.48426,0.44104,0.42453,0.2231,1.7518,1.50811,1.47932,0.007426,0.007426,0.007426
15,60.3973,1.65228,1.40798,1.31478,0.55462,0.36547,0.40309,0.21547,1.68516,1.5718,1.40371,0.007228,0.007228,0.007228
16,64.3797,1.58581,1.34213,1.27581,0.55067,0.40766,0.41815,0.22103,1.63884,1.51614,1.3604,0.00703,0.00703,0.00703
17,68.3584,1.55355,1.32902,1.27375,0.46655,0.42881,0.4195,0.22665,1.68155,1.49852,1.361,0.006832,0.006832,0.006832
18,72.27,1.53486,1.31505,1.25759,0.57733,0.43423,0.45822,0.24068,1.62191,1.4291,1.34077,0.006634,0.006634,0.006634
19,76.1493,1.49807,1.25144,1.23795,0.53487,0.45391,0.46715,0.26042,1.58721,1.37629,1.29636,0.006436,0.006436,0.006436
20,79.9988,1.48347,1.27137,1.22986,0.54672,0.4488,0.45993,0.25461,1.58259,1.39591,1.31096,0.006238,0.006238,0.006238
21,84.0636,1.47817,1.22733,1.21386,0.58462,0.48078,0.50843,0.28082,1.56545,1.31091,1.29843,0.00604,0.00604,0.00604
22,87.9201,1.46995,1.22959,1.23177,0.5873,0.49047,0.52928,0.29165,1.57425,1.2525,1.27313,0.005842,0.005842,0.005842
23,91.9133,1.48949,1.22095,1.23818,0.6184,0.48313,0.52013,0.29527,1.56416,1.25795,1.26964,0.005644,0.005644,0.005644
24,95.7646,1.43294,1.17007,1.20694,0.64246,0.49769,0.53291,0.29896,1.51859,1.27044,1.26655,0.005446,0.005446,0.005446
25,99.7315,1.40915,1.15279,1.18856,0.62675,0.45935,0.50599,0.28355,1.5423,1.33681,1.25443,0.005248,0.005248,0.005248
26,103.804,1.42636,1.14441,1.17823,0.65632,0.48028,0.53647,0.3051,1.48425,1.20579,1.24653,0.00505,0.00505,0.00505
27,107.867,1.38189,1.14051,1.18295,0.64087,0.48907,0.54175,0.32182,1.4643,1.20089,1.2332,0.004852,0.004852,0.004852
28,111.747,1.349,1.1305,1.16905,0.65704,0.48985,0.55338,0.32923,1.41548,1.18708,1.22686,0.004654,0.004654,0.004654
29,115.647,1.34342,1.0977,1.15868,0.57943,0.48894,0.51372,0.28708,1.51337,1.37668,1.27111,0.004456,0.004456,0.004456
30,119.511,1.32078,1.08198,1.15346,0.66783,0.49881,0.55381,0.33028,1.39989,1.15358,1.2143,0.004258,0.004258,0.004258
31,123.345,1.30313,1.06853,1.14753,0.68227,0.50374,0.58174,0.34897,1.37675,1.10824,1.20013,0.00406,0.00406,0.00406
32,127.292,1.32679,1.08187,1.14819,0.66508,0.52455,0.57431,0.35253,1.33907,1.1009,1.17976,0.003862,0.003862,0.003862
33,131.141,1.30455,1.07174,1.13976,0.69084,0.51341,0.57391,0.3491,1.34684,1.14851,1.18088,0.003664,0.003664,0.003664
34,134.972,1.3024,1.03818,1.12588,0.68333,0.51386,0.57483,0.34798,1.38299,1.12441,1.18953,0.003466,0.003466,0.003466
35,138.95,1.28581,1.0361,1.1297,0.71777,0.51691,0.59281,0.36308,1.3478,1.08232,1.17545,0.003268,0.003268,0.003268
36,142.794,1.27083,1.00951,1.11464,0.71086,0.51899,0.59931,0.36353,1.34532,1.06636,1.16499,0.00307,0.00307,0.00307
37,146.845,1.30939,1.03371,1.13473,0.71952,0.54121,0.60399,0.3706,1.31757,1.04924,1.15718,0.002872,0.002872,0.002872
38,150.774,1.24547,1.0008,1.11692,0.68936,0.55865,0.60971,0.37458,1.29842,1.0403,1.15124,0.002674,0.002674,0.002674
